n;u;x;y_next
88;0.382951727343;8.055418786743;1.203505191363
89;0.270592066710;0.415930307793;-10.254697687960
90;0.172992747505;-6.219982175579;-12.411648953254
91;0.038556876484;-15.360462682851;-1.198957598160
92;0.276915562024;0.845873485994;5.632700744496
93;0.316725015100;3.552573171736;18.134666398355
94;0.474336038395;14.268764283684;-6.776762553560
95;0.042518425039;-15.091111526232;4.867953895555
96;0.317632649765;3.614284505963;17.421324969732
97;0.469358801047;13.930355043568;0.203127464394
98;0.426957540758;11.047434806461;-4.199388298564
99;0.221191734806;-2.942866473119;-14.051265447911
100;0.149143750183;-7.841508435541;0.035325742071
101;0.358717945245;6.407730478533;-3.125756005864
102;0.243295435571;-1.440005336047;-9.152816789983
103;0.189111220562;-5.124064935152;6.882450666732
104;0.459808435769;13.281012520607;3.914103378300
105;0.228019513065;-2.478636401132;7.533438454934
106;0.332069246858;4.595848677191;19.567601428141
107;0.435582764559;11.633875682881;-0.543342388333
108;0.215511513260;-3.329072579615;0.824164319567
109;0.270936919325;0.439377313278;-13.840521735496
110;0.123765382725;-9.567018682854;-1.174809900756
111;0.197762511355;-4.535851727917;-4.039579091577
112;0.228647184667;-2.435960142193;19.082606815028
113;0.449534030231;12.582441500631;1.765167120010
114;0.164173749675;-6.819598015775;-0.401962050877
115;0.264149074040;-0.022137660681;8.268668650872
116;0.346951062145;5.607683848167;4.269042557341
117;0.403287711449;9.438090427138;4.661814502943
118;0.311669895204;3.208868589651;17.541518122846
119;0.418089767024;10.444502625192;1.039000063054
120;0.182511093296;-5.572816701791;-4.397618922512
121;0.255034758385;-0.641832567660;-14.504078381994
122;0.124379363908;-9.525273254417;0.336203457071
123;0.179015110842;-5.810513376277;3.658492382711
124;0.286355075889;1.487679068297;14.181914302909
125;0.391237447920;8.618776370126;21.590552338270
126;0.495199032662;15.687268072695;-2.425729884670
127;0.221612035209;-2.914289668336;-11.620018725284
128;0.165570811208;-6.724609872987;19.487614315748
129;0.500000000000;16.013692471459;-1.166243391122
130;0.233289322540;-2.120334778082;1.763183926894
131;0.278869335837;0.978713265417;-15.040192557335
132;0.077702836607;-12.698874799183;-1.066528512521
133;0.227384417703;-2.521817411773;0.035890278737
134;0.264487361944;0.000863001044;-7.187229765346
135;0.223260310705;-2.802221141309;-10.721997527199
136;0.105417596034;-10.814510035652;-7.234852068749
137;0.174661353837;-6.106531326939;-6.385723626911
138;0.123888005026;-9.558681423289;-9.702818676772
139;0.161440805118;-7.005414690051;-3.287828630396
140;0.157849937838;-7.249562714844;-10.035115144793
141;0.167872579948;-6.568109437964;-2.338711638833
142;0.132933393917;-8.943672942185;0.729648766637
143;0.265627140666;0.078358130232;-8.953644837673
144;0.179851294816;-5.753660073231;-4.068841246437
145;0.107896150365;-10.645989704143;1.214203595328
146;0.265880630800;0.095593274435;-7.921684820810
147;0.193916964544;-4.797315765760;-20.163053937142
148;0.048065668279;-14.713946798451;-0.562577239474
149;0.296689143988;2.190306628186;-4.773292320426
150;0.221925325064;-2.892988658523;-16.439706976057
151;0.068523180089;-13.323012321611;1.420795655311
