ConditionID,DecisionGrade,ZeroWindow,TimeSinceShutoff_s,CResidual,RResidual,LResidual
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,36,11025.0,3.537369266372063e-18,2.7682533662041915e-33,0.0008774919745087827
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,37,11325.0,1.814518276224148e-18,1.4635397300156778e-33,0.0007184296651094609
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,38,11625.0,1.1236341081436189e-18,7.4481022482125725e-34,0.0005882004607486312
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,39,11925.0,7.273246678935142e-19,3.5163767463810353e-34,0.0004815778061895428
PRI_CENTER_F0p25,DECISION_GRADE_PHYSICAL_SCREEN,40,12225.0,4.601488902617808e-19,1.5216643922584323e-34,0.00039428255992720674
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,1,525.0,0.07759652899806571,0.16629929110839142,0.9261539872189984
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,2,825.0,0.022850438782327072,0.016869536288683838,0.7738822713008158
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,3,1125.0,0.0067150383625432545,0.0014773630580349807,0.6350517241465942
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,4,1425.0,0.001974449863147561,0.00012775558912624067,0.520062475118001
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,5,1725.0,0.0005808533514016205,1.1050636982911476e-05,0.4258020518097516
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,6,2025.0,0.000170929650208,9.566174282818483e-07,0.3486181788810901
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,7,2325.0,5.030828868328507e-05,8.285131721425355e-08,0.28542450591406254
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,8,2625.0,1.4808122129587337e-05,7.17753888592798e-09,0.2336858277585506
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,9,2925.0,4.358940666674913e-06,6.218899106125396e-10,0.19132577435823517
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,10,3225.0,1.283136679280105e-06,5.3887072700580585e-11,0.15664429537673355
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,11,3525.0,3.77720684268032e-07,4.669532604511232e-12,0.1282495019237718
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,12,3825.0,1.1119154606836876e-07,4.046427306867803e-13,0.10500181129232515
PRI_CENTER_F0p5,DECISION_GRADE_PHYSICAL_SCREEN,13,4125.0,3.2732145961349296e-08,3.50651185173355e-14,0.08596821203395211
