seed,family,integration_method,n_features,lambda,window_macro_ovr_auc,window_accuracy,sine_auc,square_auc,triangle_auc,block_pooled_macro_auc,confusion
303,UNMASKED_RL,zoh_previous,400,0.01,1,0.98,1,1,1,1,"[[15,0,0],[1,14,0],[0,0,20]]"
303,OCCUPANCY_MASKED_RL,zoh_previous,400,100,0.931031746,0.86,0.8361904762,0.9752380952,0.9816666667,1,"[[11,0,4],[3,12,0],[0,0,20]]"
303,UNMASKED_R,zoh_previous,200,1e-06,0.9936507937,0.94,1,0.980952381,1,1,"[[15,0,0],[2,12,1],[0,0,20]]"
303,UNMASKED_L,zoh_previous,200,0.0001,1,1,1,1,1,1,"[[15,0,0],[0,15,0],[0,0,20]]"
303,MASKED_R,zoh_previous,200,1,0.6603174603,0.54,0.619047619,0.6685714286,0.6933333333,0.9047619048,"[[9,1,5],[5,6,4],[6,2,12]]"
303,MASKED_L,zoh_previous,200,100,0.8324603175,0.74,0.6857142857,0.8933333333,0.9183333333,1,"[[8,2,5],[3,10,2],[1,0,19]]"
303,ACTUAL_DRIVEN_F408,actual_or_historical,408,1,0.8411111111,0.68,0.6666666667,0.9466666667,0.91,0.9523809524,"[[9,1,5],[5,8,2],[2,1,17]]"
303,ACTUAL_DRIVEN_FRL,actual_or_historical,400,100,0.8697619048,0.78,0.6647619048,0.9828571429,0.9616666667,0.9365079365,"[[6,1,8],[0,14,1],[1,0,19]]"
303,ACTUAL_FIELD,actual_or_historical,200,1e-06,0.8603174603,0.86,0.6076190476,0.9733333333,1,0.8571428571,"[[8,7,0],[0,15,0],[0,0,20]]"
303,ACTUAL_BROWNIAN,actual_or_historical,200,1,0.5317460317,0.32,0.6095238095,0.539047619,0.4466666667,0.5238095238,"[[10,5,0],[9,6,0],[9,11,0]]"
303,ACTUAL_SILENT,actual_or_historical,408,1000000,0.5,0.3,0.5,0.5,0.5,0.5,"[[15,0,0],[15,0,0],[20,0,0]]"
